"Name","Race","Gender","Response"
"Kristen Sullivan","White","Female","Positive"
"Tanisha Jackson","Black","Female","Positive"
"Tamika Williams","Black","Female","NotPositive"
"Brent Baker","White","Male","NotPositive"
"Kristen Sullivan","White","Female","NotPositive"
"Latoya Williams","Black","Female","Positive"
"Darnell Jackson","Black","Male","Positive"
"Darnell Jackson","Black","Male","Positive"
"Jermaine Jones","Black","Male","NotPositive"
"Rasheed Jackson","Black","Male","NotPositive"
"Latoya Williams","Black","Female","Positive"
"Todd McCarthy","White","Male","Positive"
"Rasheed Jackson","Black","Male","NotPositive"
"Brent Baker","White","Male","NotPositive"
"Jamal Jones","Black","Male","NotPositive"
"Tyrone Robinson","Black","Male","NotPositive"
"Jamal Jones","Black","Male","NotPositive"
"Allison Sullivan","White","Female","Positive"
"Jamal Jones","Black","Male","Positive"
"Brent Baker","White","Male","NotPositive"
"Darnell Jackson","Black","Male","Positive"
"Brad Walsh","White","Male","NotPositive"
"Jamal Jones","Black","Male","NotPositive"
"Rasheed Jackson","Black","Male","Positive"
"Tyrone Robinson","Black","Male","NotPositive"
"Lakisha Jones","Black","Female","Positive"
"Allison Sullivan","White","Female","NotPositive"
"Latonya Robinson","Black","Female","NotPositive"
"Jamal Jones","Black","Male","NotPositive"
"Latonya Robinson","Black","Female","Positive"
"Latonya Robinson","Black","Female","NotPositive"
"Brad Walsh","White","Male","NotPositive"
"Anne Murphy","White","Female","NotPositive"
"Jermaine Jones","Black","Male","NotPositive"
"Darnell Jackson","Black","Male","NotPositive"
"Brent Baker","White","Male","NotPositive"
"Jermaine Jones","Black","Male","NotPositive"
"Allison Sullivan","White","Female","Positive"
"Laurie Ryan","White","Female","Positive"
"Jermaine Jones","Black","Male","NotPositive"
"Tamika Williams","Black","Female","NotPositive"
"Tamika Williams","Black","Female","NotPositive"
"Meredith O'Brien","White","Female","NotPositive"
"Jermaine Jones","Black","Male","NotPositive"
"Latonya Robinson","Black","Female","Positive"
"Brad Walsh","White","Male","NotPositive"
"Jamal Jones","Black","Male","NotPositive"
"Latoya Williams","Black","Female","NotPositive"
"Latoya Williams","Black","Female","NotPositive"
"Brent Baker","White","Male","Positive"
"Brett Walsh","White","Male","NotPositive"
"Darnell Jackson","Black","Male","Positive"
"Darnell Jackson","Black","Male","NotPositive"
"Jermaine Jones","Black","Male","NotPositive"
"Brent Baker","White","Male","NotPositive"
"Allison Sullivan","White","Female","Positive"
"Darnell Jackson","Black","Male","Positive"
"Laurie Ryan","White","Female","NotPositive"
"Laurie Ryan","White","Female","Positive"
"Kristen Sullivan","White","Female","NotPositive"
"Latonya Robinson","Black","Female","NotPositive"
"Meredith O'Brien","White","Female","Positive"
"Lakisha Jones","Black","Female","NotPositive"
"Darnell Jackson","Black","Male","Positive"
